2026-07-07 23:34:50 | INFO     | isic_archive_2_audit | ======================================================================
2026-07-07 23:34:50 | INFO     | isic_archive_2_audit | ISIC ARCHIVE 2 DATASET AUDIT - START
2026-07-07 23:34:50 | INFO     | isic_archive_2_audit | ======================================================================
2026-07-07 23:34:50 | INFO     | isic_archive_2_audit | --- Module 1: Folder structure + image inventory ---
2026-07-07 23:34:50 | INFO     | isic_archive_2_audit | Building folder structure + image inventory from D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\data\raw\ISIC_Archive_2
2026-07-07 23:34:51 | INFO     | isic_archive_2_audit |   images -> 25331 image files
2026-07-07 23:34:52 | INFO     | isic_archive_2_audit | Total images inventoried: 25331
2026-07-07 23:34:52 | INFO     | isic_archive_2_audit | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\01_folder_structure.csv
2026-07-07 23:34:52 | INFO     | isic_archive_2_audit | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\02_image_inventory.csv
2026-07-07 23:34:52 | INFO     | isic_archive_2_audit | --- Module 2: Image verification / size stats ---
2026-07-07 23:34:52 | INFO     | isic_archive_2_audit | Verifying 25331 images (open + decode)
2026-07-07 23:39:55 | INFO     | isic_archive_2_audit | Verification complete: 25331 OK, 0 CORRUPTED
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Width range: 576-6748 px | Height range: 450-4499 px | Distinct resolutions: 217
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\03_image_verification.csv
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\04_image_size_stats.csv
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Saved figure -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\figures\image_size_distribution.png
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | --- Module 3: Missing / orphan image detection ---
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Metadata rows: 25331 | Inventory files: 25331
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Missing images (in metadata, not on disk): 0
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Orphan images (on disk, not in metadata): 0
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Duplicate isic_id entries in metadata: 0
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | --- Module 4: Metadata overview + column descriptions ---
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Metadata shape: 25331 rows x 27 columns
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Fully duplicate rows: 0
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Column data dictionary built for 27 columns
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\06_column_description.csv
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | --- Module 5: Missing value analysis ---
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Missing values (isna()), highest first:
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   anatom_site_5: 25292 missing (99.85%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   anatom_site_4: 25092 missing (99.06%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   diagnosis_5: 24917 missing (98.37%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   patient_id: 24914 missing (98.35%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   family_hx_mm: 24786 missing (97.85%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   clin_size_long_diam_mm: 24775 missing (97.81%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   personal_hx_mm: 24776 missing (97.81%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   anatom_site_special: 24371 missing (96.21%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   diagnosis_4: 24355 missing (96.15%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   dermoscopic_type: 23901 missing (94.35%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   anatom_site_3: 22167 missing (87.51%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   anatom_site_2: 13404 missing (52.92%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   anatom_site_general: 2582 missing (10.19%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   diagnosis_confirm_type: 2459 missing (9.71%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   lesion_id: 1667 missing (6.58%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   anatom_site_1: 1618 missing (6.39%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   age_approx: 482 missing (1.90%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   sex: 384 missing (1.52%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit |   diagnosis_3: 255 missing (1.01%)
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\07_missing_value_report.csv
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | --- Module 6: Class distribution ---
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Coarse (diagnosis_1): {'Benign': 15990, 'Malignant': 8473, 'Indeterminate': 868}
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Fine (diagnosis_3), 13 classes + 255 missing: {'Nevus': 12871, 'Melanoma, NOS': 4140, 'Basal cell carcinoma': 3323, 'Seborrheic keratosis': 1316, 'Pigmented benign keratosis': 1099, 'Solar or actinic keratosis': 867, 'Squamous cell carcinoma, NOS': 628, 'Dermatofibroma': 239, 'Melanoma in situ': 211, 'Solar lentigo': 209, 'Melanoma Invasive': 171, 'Epidermal nevus': 1, 'Atypical melanocytic neoplasm': 1}
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Imbalance ratio (majority:minority) over fine classes: 12871.0
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\08_class_distribution_fine.csv
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Saved figure -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\figures\class_distribution.png
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | --- Module 7: Lesion / patient statistics ---
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Rows with lesion_id: 23664/25331 | Rows with patient_id: 417/25331
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Unique lesions: 12264 | Unique patients: 369
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Lesions with multiple images: 5059
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Lesions with inconsistent diagnosis_3: 0
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Saved -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\09_lesion_patient_statistics.csv
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | --- Module 8: Dataset summary ---
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | Dataset summary written -> D:\Naeem\thesis-v2\Multimodal_Skin_Disease_Research\reports\ISIC_Archive_2\10_dataset_audit_summary.md
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | ======================================================================
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | ISIC ARCHIVE 2 DATASET AUDIT - COMPLETE
2026-07-07 23:39:56 | INFO     | isic_archive_2_audit | ======================================================================
