width,height,count
600,450,1512
1024,768,398
3072,2304,84
767,576,80
919,802,60
1504,1129,46
2048,1536,29
1022,767,18
824,719,17
3872,2592,10
962,674,6
2592,1944,5
576,768,5
722,542,4
1019,717,3
962,722,3
3008,2000,3
2816,2112,2
1936,1936,2
6668,4419,2
1028,753,2
724,542,1
679,566,1
960,645,1
959,723,1
959,639,1
959,638,1
959,634,1
957,723,1
957,640,1
944,1127,1
853,680,1
838,614,1
833,680,1
796,682,1
771,750,1
722,540,1
722,545,1
962,723,1
965,724,1
965,649,1
965,624,1
964,720,1
964,672,1
964,640,1
966,638,1
966,645,1
1011,713,1
963,629,1
960,724,1
961,649,1
962,645,1
962,641,1
962,671,1
962,676,1
2012,1956,1
1936,1296,1
1242,1284,1
1503,1129,1
1008,711,1
1007,711,1
1016,682,1
2117,1988,1
2283,1824,1
2304,1536,1
2314,2067,1
2101,1943,1
2155,1958,1
2198,1603,1
2269,1965,1
2126,2185,1
2597,2185,1
2583,2096,1
2565,2000,1
2530,2122,1
2313,1985,1
2601,1909,1
4288,2848,1
2725,2082,1
6601,4380,1
6641,4391,1
6648,4439,1
6641,4421,1
6648,4459,1
6668,4399,1
6668,4479,1
6688,4439,1
