column,missing_pct
background_mother,35.0560398505604
background_father,34.80697384806974
diameter_1,34.184308841843084
diameter_2,34.184308841843084
sex,34.184308841843084
has_sewage_system,34.184308841843084
fitspatrick,34.184308841843084
smoke,34.184308841843084
drink,34.184308841843084
skin_cancer_history,34.184308841843084
pesticide,34.184308841843084
cancer_history,34.184308841843084
has_piped_water,34.184308841843084
grew,17.559153175591533
changed,17.31008717310087
hurt,0.49813200498132004
itch,0.18679950186799502
bleed,0.18679950186799502
age,0.0
anatomical_site,0.0
elevation,0.0
