epoch,train_loss,train_macro_f1,val_loss,val_macro_f1
1,1.7172526244357098,0.25865654853221853,1.591423614490667,0.36090258241252443
2,1.3618795130944639,0.5021039903932043,1.2549623046400984,0.5150956790630786
3,1.0166788074474407,0.5886341530095406,1.0919851614878728,0.49983247927837665
4,0.812252199293519,0.6673647756590472,1.0015051393113898,0.557550161127562
5,0.6610693606463346,0.7372759481558565,1.0345397774989789,0.49622746707956306
6,0.5363873623376468,0.7672661319340995,1.046372708836956,0.5026201203440009
7,0.4860266763276211,0.7928440789417978,1.068203210125308,0.4969338633076405
8,0.4292758005493753,0.8267093027911937,1.0738921757985855,0.5611066713973233
9,0.350461921463274,0.8556807454197721,1.174790819721109,0.5512995556633279
10,0.2872693565758792,0.8850118083197126,1.1663172964513655,0.5667051149219496
11,0.23421271548027714,0.8995592260127229,1.3302848635340583,0.5740916370415544
12,0.20597918177601113,0.9109127472529016,1.2568139585517568,0.5245301797290444
13,0.2094983368703764,0.8984329143688319,1.4177634497366007,0.5213225298686109
14,0.17659720173511528,0.9275232310054635,1.4510880172605345,0.5179620067418104
15,0.14840567504446653,0.9430086247123922,1.4872675682666034,0.5312709711437062
16,0.16089098413438904,0.9280552247671424,1.4812764825200189,0.506538481025485
17,0.1651536934402485,0.9398272169436681,1.5026449959659012,0.5163401549883622
18,0.12173354670238376,0.9460640664376289,1.5552493608914888,0.5349757967888809
