epoch,train_loss,train_macro_f1,val_loss,val_macro_f1
1,1.6071729049884516,0.27506421018899796,1.5332879448783467,0.3424642627252081
2,1.3211929905013753,0.4738430387983694,1.3633767112472353,0.42679912137778
3,1.142437827839501,0.5653339021025432,1.2790664624885695,0.45201774104262066
4,0.9961870111534337,0.6279431728324872,1.211343542358579,0.5327941431769566
5,0.8909960169424007,0.6661116987203384,1.1804702648749719,0.5127670801280225
6,0.8126660301854571,0.701051360562079,1.1661193808154946,0.5215181462044134
7,0.7774384222173156,0.7085481344700085,1.1217126733452611,0.526741803330734
8,0.7228908688757815,0.7302727615059319,1.1071629813436925,0.5332630556315511
9,0.7042421611724131,0.7381197134069323,1.098651496616341,0.5422232205728453
10,0.6941504381587764,0.7515952279367101,1.0846101440621552,0.5453607383892529
11,0.6636847911557997,0.7771728867939197,1.0735746336406504,0.5472325812387872
12,0.6316261487464382,0.7778638352486683,1.0615388895632953,0.5382015900944774
13,0.5915400682766441,0.7760514483950826,1.1228565492573575,0.5087527142061067
14,0.5801402070602474,0.7911296156307334,1.0723058690686198,0.5603136153931747
15,0.5806739364436376,0.7954805658417589,1.073318184127469,0.5446569225980991
16,0.5576903463746067,0.7998054996840055,1.0303174207901813,0.534982203206366
17,0.5274189323520898,0.8141949841039402,1.0388608744158547,0.5424327136597944
18,0.5196098666707725,0.822137695473438,1.0616552850903844,0.5339165656342996
19,0.5199411757114073,0.8365114809963892,1.0327261499399265,0.5430793021381317
20,0.4922797496559314,0.8352575202300804,1.069993633137652,0.5664715354740931
21,0.4914754048676449,0.8349230569576296,1.0945220945854863,0.5245602088774249
22,0.47476324635751516,0.835424134785761,1.0585438214110199,0.5711077654012998
23,0.45697555150071234,0.8506750998309341,1.0741291458790119,0.5608704564866144
24,0.4826182967995944,0.8421078520751598,1.0975293760468974,0.5466701179374668
25,0.43822838215721055,0.8521311570579289,1.070523312105935,0.5415505130392771
26,0.4358423919339257,0.8546052345998093,1.1317741109069281,0.5473728112474916
27,0.43192388082055344,0.8641937689429652,1.0821687494509318,0.5505885154505971
28,0.42881033355242587,0.8622899467014261,1.11352403629461,0.5405683415235691
29,0.41069717053903887,0.8640359297596274,1.1011581018831602,0.56767322290357
