column,missing_count,missing_pct,dtype
background_mother,822,35.77,str
background_father,818,35.6,str
pesticide,804,34.99,object
gender,804,34.99,str
drink,804,34.99,object
smoke,804,34.99,object
skin_cancer_history,804,34.99,object
has_sewage_system,804,34.99,object
has_piped_water,804,34.99,object
cancer_history,804,34.99,object
diameter_1,804,34.99,float64
diameter_2,804,34.99,float64
fitspatrick,804,34.99,float64
patient_id,0,0.0,str
age,0,0.0,int64
lesion_id,0,0.0,int64
region,0,0.0,str
diagnostic,0,0.0,str
itch,0,0.0,str
grew,0,0.0,str
hurt,0,0.0,str
changed,0,0.0,str
bleed,0,0.0,str
elevation,0,0.0,str
img_id,0,0.0,str
biopsed,0,0.0,bool
